Date Time,Address,Latitude,Longitude,Resolved Address,Minimum Temperature,Maximum Temperature,Temperature,Precipitation,Precipitation %,Wind speed,Wind gust,Visibility
01/01/2014,"lawrence, ks",38.97307,-95.23618,"Lawrence, KS, United States",10.85,31.01,20.42,0.03,12.5,11.42,0,7.61
01/02/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",0.05,19.85,9.18,0,0,8.05,0,9.96
01/03/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",2.03,38.93,24.55,0,0,13.7,0,10
01/04/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",17.87,41.99,29.16,0.03,8.33,10.61,35.57,8.67
01/05/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",1.13,16.97,10.33,0.01,4.17,18.13,40.04,7.37
01/06/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",-9.85,7.97,-1.89,0,0,9.55,0,10
01/07/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",-6.97,38.93,18.74,0,0,6.47,0,10
01/08/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",18.95,29.03,24.7,0,0,7.34,0,9.87
01/09/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",19.85,31.01,24.4,0,0,6.38,0,5.86
01/10/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",32.99,41.99,37.11,0,0,6.78,0,4.34
01/11/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",27.05,47.93,35.89,0,0,8.21,0,8.48
01/12/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",31.01,65.93,46.42,0,0,10.32,34.23,10
01/13/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",30.11,49.91,38.59,0,0,7.57,0,10
01/14/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",22.01,45.95,38.03,0,0,13.32,0,10
01/15/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",15.17,39.83,28.45,0,0,7.78,0,10
01/16/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",26.87,49.91,38.84,0,0,19.27,48.32,10
01/17/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",18.05,34.97,25.09,0,0,13.42,38.92,10
01/18/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",21.11,50.99,36.93,0,0,15.62,51.67,10
01/19/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",15.17,64.85,39.39,0,0,7.08,0,10
01/20/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",20.93,52.97,36.04,0,0,13.67,46.08,10
01/21/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",4.91,23.99,15.54,0,0,10.31,36.91,9.83
01/22/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",10.85,39.83,26.82,0,0,12.62,31.09,9.87
01/23/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",1.13,17.87,7.61,0,0,10.46,0,9.79
01/24/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",1.13,45.95,28.47,0,0,15.88,32.21,10
01/25/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",26.15,46.85,39.5,0,0,10.96,31.09,10
01/26/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",22.91,58.91,44.46,0,0,15.27,54.13,10
01/27/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",4.01,17.87,11.64,0,0,13.78,40.26,10
01/28/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",-2.83,24.89,10.51,0,0,4.64,0,9.79
01/29/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",2.03,45.95,26.29,0,0,11.17,0,10
01/30/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",31.91,47.93,37.81,0,0,14.17,32.21,10
01/31/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",21.11,29.93,23.7,0,0,9.89,0,7.87
02/01/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",20.93,27.95,24.24,0.3,29.17,10.62,0,9.04
02/02/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",6.17,25.97,16.14,0,0,6.21,0,10
02/03/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",2.03,34.97,18.95,0,0,5.16,0,9.79
02/04/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",17.87,27.95,23.67,0.2,45.83,12.12,0.22,3.58
02/05/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",-1.93,13.01,6.13,0.01,4.17,15.98,33.33,8.92
02/06/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",-9.85,9.95,0.73,0,0,5.84,0,10
02/07/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",4.01,15.89,10.98,0,0,5.13,0,10
02/08/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",16.97,29.93,24.04,0,0,4.2,0,8.04
02/09/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",13.91,27.95,20.62,0.01,12.5,9.5,0,6.55
02/10/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",8.15,15.89,11.56,0,0,6.47,0,10
02/11/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",-9.85,20.03,7.12,0,0,4.71,0,10
02/12/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",0.05,31.91,21.55,0,0,4.92,0,8.84
02/13/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",23.09,44.87,33.55,0,0,5.52,0,8.25
02/14/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",14.09,40.01,29.47,0,0,11.53,33.33,8.75
02/15/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",12.11,45.95,29.3,0,0,4.76,0,8.17
02/16/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",21.11,37.85,31.45,0,0,8.45,0,8.74
02/17/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",32.09,54.95,42.17,0,0,10.38,0,10
02/18/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",38.03,66.83,50.86,0,0,11.69,15.66,10
02/19/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",26.15,57.83,41.92,0.1,20.83,7.2,0,9.18
02/20/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",35.87,50.99,43.91,0.34,45.83,14.01,46.08,6.48
02/21/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",27.95,59.99,41.86,0.01,4.17,9.52,0,9.96
02/22/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",25.07,58.91,40.44,0,0,5.85,0,9.44
02/23/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",27.95,36.95,31.74,0,0,9.89,0,9.36
02/24/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",26.87,39.83,32.82,0,0,7.95,0,9.53
02/25/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",17.87,28.85,25.12,0,0,11.17,0,6.85
02/26/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",7.97,32.99,21.94,0,0,10.27,0,8.71
02/27/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",16.07,33.89,25.4,0,0,8.5,0,8.45
02/28/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",22.01,51.89,37.18,0,0,9.89,0,6.76
03/01/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",10.85,32.99,21.9,0.02,4.17,13.32,0,3.62
