PST,Address,Latitude,Longitude,Resolved Address,Minimum Temperature,Maximum Temperature,Temperature,Precipitation,Precipitation %,Wind speed,Wind gust,Visibility
1/1/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",38,58,47.64,0,0,1.53,0,8.48
1/2/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",40,59,50.18,0,0,1.69,0,9.98
1/3/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",43,64,50.96,0,0,3.15,0,9.83
1/4/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",43,62,50.36,0,0,2.38,0,7.12
1/5/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",44,63,54.92,0,0,4.99,0,10
1/6/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",43,57,50.48,0,0,2.34,0,9.09
1/7/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",45,57,52.49,0,0,3.19,0,7.88
1/8/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",51,55,53.38,0,4.17,6.9,18.79,9.13
1/9/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",48,59,53.18,0.02,8.33,8.29,15.21,8.77
1/10/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",45,59,50.93,0,0,4.3,0,9.28
1/11/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",45,56,50.5,0.01,4.17,4.55,0,9.07
1/12/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",43,60,50.76,0,0,6.26,0,9.16
1/13/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",44,68,56.6,0,0,5.37,15.88,10
1/14/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",47,73,56.65,0,0,3.55,0,10
1/15/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",48,74,58.64,0,0,4.31,0,10
1/16/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",47,68,56.06,0,0,2.8,0,10
1/17/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",42,64,52.83,0,0,1.64,0,8.99
1/18/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",40,63,51.71,0,0,1.97,0,9.05
1/19/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",41,64,51.82,0,0,1.76,0,9.5
1/20/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",42,64,51.77,0,0,1.64,0,9.14
1/21/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",41,65,51.51,0,0,2.39,0,10
1/22/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",41,63,51.2,0,0,4.12,0,9.84
1/23/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",42,68,55.57,0,0,5.68,0,9.17
1/24/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",44,61,52.1,0,0,2.32,0,7.04
1/25/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",47,67,55.11,0,0,2.17,0,9.1
1/26/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",47,67,54.21,0,0,5.87,0,9.82
1/27/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",50,58,53.18,0,0,5.12,0,9.23
1/28/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",52,64,57.19,0,0,4.35,0,9.21
1/29/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,62,57.71,0,0,5.59,0,7.85
1/30/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",52,59,54.36,0.05,20.83,11.45,18.57,9.94
1/31/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",45,59,52.45,0,0,9.74,16.78,9.98
2/1/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",40,57,48.73,0,0,5.26,0,10
2/2/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",46,51,47.94,0.44,45.83,12.23,15.88,8.77
2/3/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",44,55,49.24,0.02,4.17,8.26,15.66,10
2/4/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",42,55,48.31,0,0,6.25,0,10
2/5/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",41,54,48.3,0.07,20.83,6.71,0,9.98
2/6/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",48,53,50.36,0.68,54.17,5.89,0,7.03
2/7/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",51,55,53.21,0.39,58.33,11.18,19.69,8.4
2/8/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",54,58,56.39,1.12,100,13.89,17.45,7.06
2/9/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",56,59,57.45,1.13,83.33,9.55,0,6.52
2/10/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",51,57,54.39,0.06,20.83,7.6,0,8.88
2/11/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",50,55,51.86,0.01,4.17,7.19,0,9.16
2/12/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",49,58,51.76,0,0,4.79,0,7.8
2/13/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",52,65,55.69,0,0,5.7,0,6.71
2/14/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,64,58.55,0.01,8.33,4.17,0,8.83
2/15/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",52,60,56.12,0,0,5.82,0,10
2/16/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",48,63,55.74,0.03,4.17,7.2,0,9.7
2/17/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",44,60,52.59,0,0,7.36,0,10
2/18/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",46,61,53.42,0,0,5.53,0,10
2/19/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",52,63,56.74,0.01,4.17,11.76,15.21,9.96
2/20/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",45,64,54.16,0,0,4.66,0,10
2/21/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",45,68,55.16,0,0,6.17,0,10
2/22/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",45,65,53.34,0,0,8.02,0,10
2/23/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",47,64,52.77,0,0,6.01,0,9.62
2/24/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",45,71,55.77,0,0,5.76,0,9.94
2/25/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",49,63,54.76,0,0,5.12,0,8.93
2/26/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,60,57.53,0.93,75,15.19,34.45,8.83
2/27/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",56,64,59.35,0.17,25,9.61,0,9.7
2/28/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,61,57.09,1.13,70.83,13.53,3.36,8.89
3/1/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",54,64,58.64,0.15,54.17,9.53,0,9.92
3/2/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",53,60,56.75,0.07,25,7.89,0,8.99
3/3/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",52,61,55.58,0.19,29.17,6.56,0,10
3/4/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,63,57.74,0.08,29.17,4.44,0,9.85
3/5/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,67,59.98,0.19,12.5,5.93,0,8.66
3/6/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",54,63,58.11,0.04,12.5,7.68,0,9.46
3/7/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",50,64,56.15,0,0,8.51,0,9.9
3/8/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",48,69,57.82,0,0,4.87,0,9.96
3/9/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",57,70,62.13,0,0,5.67,0,10
3/10/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",56,66,60.29,0.04,12.5,9.59,0,9.92
3/11/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",52,71,61.71,0,0,9.29,30.42,10
3/12/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",57,74,64.62,0,0,17.36,42.5,10
3/13/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",50,73,59.58,0,0,8.01,0,10
3/14/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",54,66,58.88,0,0,8.35,0,9.96
3/15/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",50,75,60.03,0,0,6.66,0,10
3/16/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",51,68,57.52,0,0,9.89,20.8,10
3/17/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",53,66,58.15,0,0,12.77,15.21,10
3/18/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",47,70,58.07,0,0,5.08,0,9.96
3/19/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",48,72,59.36,0,0,5.92,0,10
3/20/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",52,68,57.85,0,0,9.38,15.21,9.92
3/21/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",49,63,55.19,0,0,7.66,0,9.77
3/22/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",50,64,55.64,0,0,7.94,0,10
3/23/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",50,64,55.07,0,0,7.59,0,10
3/24/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",47,71,57.13,0,0,8.27,15.88,9.27
3/25/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",47,62,56.19,0.19,25,7.88,0,9.63
3/26/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",54,61,56.91,0.64,54.17,11.65,0,9.2
3/27/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,64,59.14,0.04,8.33,8.41,0,9.91
3/28/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",56,68,61.05,0,4.17,8.96,0,9.94
3/29/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",54,60,57.42,0.96,54.17,11.47,0,8.67
3/30/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",50,60,55.8,0.07,12.5,9.76,0,10
3/31/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",49,56,52.2,0.73,37.5,11.01,3.36,9.22
4/1/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",47,57,50.43,1.13,66.67,11.32,35.57,9.49
4/2/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",46,60,53.42,0.2,25,8.81,0,9.94
4/3/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",48,62,54.75,0,4.17,6.72,0,10
4/4/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",51,60,54.86,0.46,50,10.07,0,9.54
4/5/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",48,64,56.4,0.02,8.33,10.07,16.33,9.98
4/6/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",50,72,60.13,0,0,5.88,0,9.96
4/7/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",54,79,65.32,0,0,6.04,0,10
4/8/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,77,63.61,0,0,7.29,0,10
4/9/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",52,63,56.46,0,0,11.16,0,10
4/10/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",51,71,57.26,0,0,7.45,0,9.36
4/11/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",53,63,56.59,0,0,9.6,0,10
4/12/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",54,64,57.96,0,0,9.32,0,10
4/13/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",54,68,58.79,0,0,9.48,0,9.75
4/14/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",52,66,57.32,0,0,9.58,15.21,9.38
4/15/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",54,65,58.04,0,0,9.13,0,9.74
4/16/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",52,71,60.69,0,0,10.11,15.66,9.5
4/17/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",53,64,58.53,0,0,11.65,17.45,9.7
4/18/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",53,62,57.38,0,0,11.11,15.88,9.98
4/19/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",53,64,57.37,0,0,12.4,19.46,9.96
4/20/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",50,75,60.55,0,0,7.67,15.21,10
4/21/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",52,65,58.14,0,0,10.74,21.03,9.74
4/22/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",52,63,56.73,0.01,4.17,21.23,36.69,10
